Seconds,BPM,Presentase_HR_Max,Intensitas_Olahraga
2,138,69.00,Light
3,137,68.50,Light
4,137,68.50,Light
5,136,68.00,Light
6,135,67.50,Light
7,135,67.50,Light
8,134,67.00,Light
9,133,66.50,Light
10,134,67.00,Light
11,135,67.50,Light
12,136,68.00,Light
13,137,68.50,Light
14,138,69.00,Light
15,139,69.50,Light
16,139,69.50,Light
17,139,69.50,Light
18,138,69.00,Light
19,138,69.00,Light
20,138,69.00,Light
21,137,68.50,Light
22,136,68.00,Light
23,136,68.00,Light
24,135,67.50,Light
25,135,67.50,Light
26,134,67.00,Light
27,134,67.00,Light
28,134,67.00,Light
29,133,66.50,Light
30,133,66.50,Light
31,133,66.50,Light
32,133,66.50,Light
33,134,67.00,Light
34,134,67.00,Light
35,134,67.00,Light
36,134,67.00,Light
37,134,67.00,Light
38,134,67.00,Light
39,134,67.00,Light
40,134,67.00,Light
41,134,67.00,Light
42,134,67.00,Light
43,134,67.00,Light
44,134,67.00,Light
45,134,67.00,Light
46,134,67.00,Light
47,134,67.00,Light
48,134,67.00,Light
49,134,67.00,Light
50,134,67.00,Light
51,134,67.00,Light
52,133,66.50,Light
53,133,66.50,Light
54,132,66.00,Light
55,132,66.00,Light
56,132,66.00,Light
57,131,65.50,Light
58,131,65.50,Light
59,131,65.50,Light
60,131,65.50,Light
61,131,65.50,Light
62,131,65.50,Light
63,131,65.50,Light
64,131,65.50,Light
65,130,65.00,Light
66,130,65.00,Light
67,130,65.00,Light
68,130,65.00,Light
69,131,65.50,Light
70,131,65.50,Light
71,131,65.50,Light
72,131,65.50,Light
73,131,65.50,Light
74,131,65.50,Light
75,130,65.00,Light
76,130,65.00,Light
77,131,65.50,Light
78,131,65.50,Light
79,130,65.00,Light
80,128,64.00,Light
81,127,63.50,Light
82,127,63.50,Light
83,128,64.00,Light
84,128,64.00,Light
85,128,64.00,Light
86,128,64.00,Light
87,127,63.50,Light
88,126,63.00,Light
89,127,63.50,Light
90,128,64.00,Light
91,129,64.50,Light
92,131,65.50,Light
93,133,66.50,Light
94,134,67.00,Light
95,134,67.00,Light
96,135,67.50,Light
97,135,67.50,Light
98,136,68.00,Light
99,136,68.00,Light
100,136,68.00,Light
101,137,68.50,Light
102,136,68.00,Light
103,134,67.00,Light
104,133,66.50,Light
105,132,66.00,Light
106,130,65.00,Light
107,130,65.00,Light
108,130,65.00,Light
109,130,65.00,Light
110,131,65.50,Light
111,132,66.00,Light
112,134,67.00,Light
113,135,67.50,Light
114,137,68.50,Light
115,139,69.50,Light
116,143,71.50,Moderate
117,145,72.50,Moderate
118,147,73.50,Moderate
119,148,74.00,Moderate
120,149,74.50,Moderate
121,149,74.50,Moderate
122,149,74.50,Moderate
123,150,75.00,Moderate
124,150,75.00,Moderate
125,151,75.50,Moderate
126,151,75.50,Moderate
127,152,76.00,Moderate
128,151,75.50,Moderate
129,150,75.00,Moderate
130,148,74.00,Moderate
131,147,73.50,Moderate
132,146,73.00,Moderate
133,146,73.00,Moderate
134,145,72.50,Moderate
135,145,72.50,Moderate
136,144,72.00,Moderate
137,143,71.50,Moderate
138,141,70.50,Moderate
139,138,69.00,Light
140,137,68.50,Light
141,137,68.50,Light
142,137,68.50,Light
143,137,68.50,Light
144,137,68.50,Light
145,138,69.00,Light
146,140,70.00,Moderate
147,140,70.00,Moderate
148,141,70.50,Moderate
149,142,71.00,Moderate
150,143,71.50,Moderate
151,145,72.50,Moderate
152,146,73.00,Moderate
153,147,73.50,Moderate
154,147,73.50,Moderate
155,148,74.00,Moderate
156,149,74.50,Moderate
157,149,74.50,Moderate
158,150,75.00,Moderate
159,151,75.50,Moderate
160,151,75.50,Moderate
161,151,75.50,Moderate
162,152,76.00,Moderate
163,154,77.00,Moderate
164,156,78.00,Moderate
165,156,78.00,Moderate
166,157,78.50,Moderate
167,158,79.00,Moderate
168,159,79.50,Moderate
169,159,79.50,Moderate
170,159,79.50,Moderate
171,160,80.00,Hard
172,160,80.00,Hard
173,161,80.50,Hard
174,161,80.50,Hard
175,162,81.00,Hard
176,161,80.50,Hard
177,160,80.00,Hard
178,160,80.00,Hard
179,160,80.00,Hard
180,160,80.00,Hard
181,159,79.50,Moderate
182,157,78.50,Moderate
183,156,78.00,Moderate
184,156,78.00,Moderate
185,155,77.50,Moderate
186,154,77.00,Moderate
187,152,76.00,Moderate
188,152,76.00,Moderate
189,151,75.50,Moderate
190,150,75.00,Moderate
191,148,74.00,Moderate
192,147,73.50,Moderate
193,147,73.50,Moderate
194,146,73.00,Moderate
195,145,72.50,Moderate
196,144,72.00,Moderate
197,144,72.00,Moderate
198,143,71.50,Moderate
199,143,71.50,Moderate
200,143,71.50,Moderate
201,142,71.00,Moderate
202,141,70.50,Moderate
203,140,70.00,Moderate
204,140,70.00,Moderate
205,139,69.50,Light
206,139,69.50,Light
207,138,69.00,Light
208,137,68.50,Light
209,137,68.50,Light
210,136,68.00,Light
211,136,68.00,Light
212,136,68.00,Light
213,136,68.00,Light
214,135,67.50,Light
215,135,67.50,Light
216,134,67.00,Light
217,134,67.00,Light
218,133,66.50,Light
219,132,66.00,Light
220,131,65.50,Light
221,130,65.00,Light
222,130,65.00,Light
223,130,65.00,Light
224,129,64.50,Light
225,129,64.50,Light
226,129,64.50,Light
227,129,64.50,Light
228,129,64.50,Light
229,129,64.50,Light
230,129,64.50,Light
231,129,64.50,Light
232,130,65.00,Light
233,132,66.00,Light
234,133,66.50,Light
235,133,66.50,Light
236,134,67.00,Light
237,133,66.50,Light
238,134,67.00,Light
239,135,67.50,Light
240,136,68.00,Light
241,136,68.00,Light
242,137,68.50,Light
243,138,69.00,Light
244,139,69.50,Light
245,141,70.50,Moderate
246,142,71.00,Moderate
247,146,73.00,Moderate
248,147,73.50,Moderate
249,148,74.00,Moderate
250,149,74.50,Moderate
251,149,74.50,Moderate
252,151,75.50,Moderate
253,151,75.50,Moderate
254,152,76.00,Moderate
255,153,76.50,Moderate
256,154,77.00,Moderate
257,154,77.00,Moderate
258,154,77.00,Moderate
259,153,76.50,Moderate
260,153,76.50,Moderate
261,152,76.00,Moderate
262,152,76.00,Moderate
263,151,75.50,Moderate
264,150,75.00,Moderate
265,150,75.00,Moderate
266,150,75.00,Moderate
267,149,74.50,Moderate
268,149,74.50,Moderate
269,149,74.50,Moderate
270,148,74.00,Moderate
271,148,74.00,Moderate
272,148,74.00,Moderate
273,147,73.50,Moderate
274,147,73.50,Moderate
275,147,73.50,Moderate
276,147,73.50,Moderate
277,147,73.50,Moderate
278,147,73.50,Moderate
279,146,73.00,Moderate
280,146,73.00,Moderate
281,145,72.50,Moderate
282,145,72.50,Moderate
283,146,73.00,Moderate
284,145,72.50,Moderate
285,145,72.50,Moderate
286,144,72.00,Moderate
287,143,71.50,Moderate
288,143,71.50,Moderate
289,143,71.50,Moderate
290,143,71.50,Moderate
291,144,72.00,Moderate
292,144,72.00,Moderate
293,146,73.00,Moderate
294,147,73.50,Moderate
295,148,74.00,Moderate
296,150,75.00,Moderate
297,151,75.50,Moderate
298,152,76.00,Moderate
299,154,77.00,Moderate
300,155,77.50,Moderate
301,155,77.50,Moderate
302,157,78.50,Moderate
303,158,79.00,Moderate
304,159,79.50,Moderate
305,160,80.00,Hard
306,162,81.00,Hard
307,163,81.50,Hard
308,163,81.50,Hard
309,164,82.00,Hard
310,163,81.50,Hard
311,163,81.50,Hard
312,162,81.00,Hard
313,162,81.00,Hard
314,161,80.50,Hard
315,161,80.50,Hard
316,160,80.00,Hard
317,159,79.50,Moderate
318,159,79.50,Moderate
319,157,78.50,Moderate
320,156,78.00,Moderate
321,155,77.50,Moderate
322,155,77.50,Moderate
323,154,77.00,Moderate
324,154,77.00,Moderate
325,154,77.00,Moderate
326,154,77.00,Moderate
327,153,76.50,Moderate
328,153,76.50,Moderate
329,153,76.50,Moderate
330,153,76.50,Moderate
331,152,76.00,Moderate
332,151,75.50,Moderate
333,150,75.00,Moderate
334,150,75.00,Moderate
335,150,75.00,Moderate
336,150,75.00,Moderate
337,149,74.50,Moderate
338,148,74.00,Moderate
339,147,73.50,Moderate
340,147,73.50,Moderate
341,146,73.00,Moderate
342,145,72.50,Moderate
343,145,72.50,Moderate
344,145,72.50,Moderate
345,145,72.50,Moderate
346,145,72.50,Moderate
347,145,72.50,Moderate
348,145,72.50,Moderate
349,145,72.50,Moderate
350,145,72.50,Moderate
351,146,73.00,Moderate
352,146,73.00,Moderate
353,147,73.50,Moderate
354,148,74.00,Moderate
355,151,75.50,Moderate
356,152,76.00,Moderate
357,154,77.00,Moderate
358,155,77.50,Moderate
359,156,78.00,Moderate
360,158,79.00,Moderate
361,158,79.00,Moderate
362,158,79.00,Moderate
363,158,79.00,Moderate
364,157,78.50,Moderate
365,157,78.50,Moderate
366,156,78.00,Moderate
367,154,77.00,Moderate
368,154,77.00,Moderate
369,153,76.50,Moderate
370,153,76.50,Moderate
371,152,76.00,Moderate
372,152,76.00,Moderate
373,152,76.00,Moderate
374,152,76.00,Moderate
375,152,76.00,Moderate
376,152,76.00,Moderate
377,151,75.50,Moderate
378,151,75.50,Moderate
379,150,75.00,Moderate
380,149,74.50,Moderate
381,148,74.00,Moderate
382,147,73.50,Moderate
383,147,73.50,Moderate
384,146,73.00,Moderate
385,145,72.50,Moderate
386,145,72.50,Moderate
387,145,72.50,Moderate
388,144,72.00,Moderate
389,144,72.00,Moderate
390,144,72.00,Moderate
391,143,71.50,Moderate
392,143,71.50,Moderate
393,143,71.50,Moderate
394,143,71.50,Moderate
395,143,71.50,Moderate
396,143,71.50,Moderate
397,143,71.50,Moderate
398,143,71.50,Moderate
399,143,71.50,Moderate
400,143,71.50,Moderate
401,143,71.50,Moderate
402,142,71.00,Moderate
403,141,70.50,Moderate
404,141,70.50,Moderate
405,141,70.50,Moderate
406,141,70.50,Moderate
407,140,70.00,Moderate
408,140,70.00,Moderate
409,140,70.00,Moderate
410,140,70.00,Moderate
411,139,69.50,Light
412,139,69.50,Light
413,138,69.00,Light
414,138,69.00,Light
415,137,68.50,Light
416,137,68.50,Light
417,136,68.00,Light
418,136,68.00,Light
419,136,68.00,Light
420,135,67.50,Light
421,135,67.50,Light
422,135,67.50,Light
423,135,67.50,Light
424,135,67.50,Light
425,135,67.50,Light
426,136,68.00,Light
427,134,67.00,Light
428,133,66.50,Light
429,133,66.50,Light
430,133,66.50,Light
431,134,67.00,Light
432,134,67.00,Light
433,134,67.00,Light
434,134,67.00,Light
435,135,67.50,Light
436,134,67.00,Light
437,134,67.00,Light
438,133,66.50,Light
439,133,66.50,Light
440,133,66.50,Light
441,133,66.50,Light
442,132,66.00,Light
443,132,66.00,Light
444,132,66.00,Light
445,132,66.00,Light
446,132,66.00,Light
447,131,65.50,Light
448,131,65.50,Light
449,130,65.00,Light
450,130,65.00,Light
451,130,65.00,Light
452,130,65.00,Light
453,131,65.50,Light
454,131,65.50,Light
455,130,65.00,Light
456,130,65.00,Light
457,130,65.00,Light
458,130,65.00,Light
459,129,64.50,Light
460,129,64.50,Light
461,128,64.00,Light
462,128,64.00,Light
463,128,64.00,Light
464,128,64.00,Light
465,128,64.00,Light
466,128,64.00,Light
467,129,64.50,Light
468,130,65.00,Light
469,131,65.50,Light
470,131,65.50,Light
471,133,66.50,Light
472,133,66.50,Light
473,134,67.00,Light
474,134,67.00,Light
475,135,67.50,Light
476,136,68.00,Light
477,136,68.00,Light
478,137,68.50,Light
479,137,68.50,Light
480,139,69.50,Light
481,140,70.00,Moderate
482,140,70.00,Moderate
483,140,70.00,Moderate
484,141,70.50,Moderate
485,141,70.50,Moderate
486,141,70.50,Moderate
487,141,70.50,Moderate
488,140,70.00,Moderate
489,139,69.50,Light
490,139,69.50,Light
491,138,69.00,Light
492,137,68.50,Light
493,136,68.00,Light
494,136,68.00,Light
495,134,67.00,Light
496,133,66.50,Light
497,132,66.00,Light
498,132,66.00,Light
499,132,66.00,Light
500,132,66.00,Light
501,133,66.50,Light
502,133,66.50,Light
503,135,67.50,Light
504,135,67.50,Light
505,136,68.00,Light
506,136,68.00,Light
507,137,68.50,Light
508,138,69.00,Light
509,138,69.00,Light
510,140,70.00,Moderate
511,143,71.50,Moderate
512,144,72.00,Moderate
513,145,72.50,Moderate
514,146,73.00,Moderate
515,146,73.00,Moderate
516,149,74.50,Moderate
